Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon May 1 2023,7:30p,Philadelphia 76ers,119,Boston Celtics,115,Box Score,,19156,2:16,TD Garden,
Mon May 1 2023,10:00p,Phoenix Suns,87,Denver Nuggets,97,Box Score,,19592,2:17,Ball Arena,
Tue May 2 2023,7:30p,Miami Heat,105,New York Knicks,111,Box Score,,19812,2:33,Madison Square Garden (IV),
Tue May 2 2023,10:00p,Los Angeles Lakers,117,Golden State Warriors,112,Box Score,,18064,2:21,Chase Center,
Wed May 3 2023,8:00p,Philadelphia 76ers,87,Boston Celtics,121,Box Score,,19156,2:13,TD Garden,
Thu May 4 2023,9:00p,Los Angeles Lakers,100,Golden State Warriors,127,Box Score,,18064,2:23,Chase Center,
Fri May 5 2023,7:30p,Boston Celtics,114,Philadelphia 76ers,102,Box Score,,21290,2:22,Wells Fargo Center,
Fri May 5 2023,10:00p,Denver Nuggets,114,Phoenix Suns,121,Box Score,,17071,2:28,Footprint Center,
Sat May 6 2023,3:30p,New York Knicks,86,Miami Heat,105,Box Score,,19927,2:37,Kaseya Center,
Sat May 6 2023,8:30p,Golden State Warriors,97,Los Angeles Lakers,127,Box Score,,18997,2:33,Crypto.com Arena,
Sun May 7 2023,3:30p,Boston Celtics,115,Philadelphia 76ers,116,Box Score,OT,21264,2:35,Wells Fargo Center,
Sun May 7 2023,8:00p,Denver Nuggets,124,Phoenix Suns,129,Box Score,,17071,2:23,Footprint Center,
Mon May 8 2023,7:30p,New York Knicks,101,Miami Heat,109,Box Score,,19769,2:29,Kaseya Center,
Mon May 8 2023,10:00p,Golden State Warriors,101,Los Angeles Lakers,104,Box Score,,18997,2:26,Crypto.com Arena,
Tue May 9 2023,7:30p,Philadelphia 76ers,115,Boston Celtics,103,Box Score,,19156,2:25,TD Garden,
Tue May 9 2023,10:00p,Phoenix Suns,102,Denver Nuggets,118,Box Score,,19773,2:23,Ball Arena,
Wed May 10 2023,7:30p,Miami Heat,103,New York Knicks,112,Box Score,,19812,2:31,Madison Square Garden (IV),
Wed May 10 2023,10:00p,Los Angeles Lakers,106,Golden State Warriors,121,Box Score,,18064,2:21,Chase Center,
Thu May 11 2023,7:30p,Boston Celtics,95,Philadelphia 76ers,86,Box Score,,21337,2:20,Wells Fargo Center,
Thu May 11 2023,10:00p,Denver Nuggets,125,Phoenix Suns,100,Box Score,,17071,2:20,Footprint Center,
Fri May 12 2023,7:30p,New York Knicks,92,Miami Heat,96,Box Score,,19737,2:31,Kaseya Center,
Fri May 12 2023,10:00p,Golden State Warriors,101,Los Angeles Lakers,122,Box Score,,18997,2:26,Crypto.com Arena,
Sun May 14 2023,3:30p,Philadelphia 76ers,88,Boston Celtics,112,Box Score,,19156,2:23,TD Garden,
Tue May 16 2023,8:30p,Los Angeles Lakers,126,Denver Nuggets,132,Box Score,,19633,2:34,Ball Arena,
Wed May 17 2023,8:30p,Miami Heat,123,Boston Celtics,116,Box Score,,19156,2:18,TD Garden,
Thu May 18 2023,8:30p,Los Angeles Lakers,103,Denver Nuggets,108,Box Score,,19742,2:29,Ball Arena,
Fri May 19 2023,8:30p,Miami Heat,111,Boston Celtics,105,Box Score,,19156,2:22,TD Garden,
Sat May 20 2023,8:30p,Denver Nuggets,119,Los Angeles Lakers,108,Box Score,,18997,2:19,Crypto.com Arena,
Sun May 21 2023,8:30p,Boston Celtics,102,Miami Heat,128,Box Score,,20088,2:16,Kaseya Center,
Mon May 22 2023,8:30p,Denver Nuggets,113,Los Angeles Lakers,111,Box Score,,18997,2:32,Crypto.com Arena,
Tue May 23 2023,8:30p,Boston Celtics,116,Miami Heat,99,Box Score,,20147,2:22,Kaseya Center,
Thu May 25 2023,8:30p,Miami Heat,97,Boston Celtics,110,Box Score,,19156,2:08,TD Garden,
Sat May 27 2023,8:30p,Boston Celtics,104,Miami Heat,103,Box Score,,20201,2:40,Kaseya Center,
Mon May 29 2023,8:30p,Miami Heat,103,Boston Celtics,84,Box Score,,19156,2:10,TD Garden,
