Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Feb 1 2024,7:30p,Los Angeles Lakers,114,Boston Celtics,105,Box Score,,19156,2:13,TD Garden,
Thu Feb 1 2024,7:30p,Indiana Pacers,105,New York Knicks,109,Box Score,,19812,2:17,Madison Square Garden (IV),
Thu Feb 1 2024,8:00p,Cleveland Cavaliers,108,Memphis Grizzlies,101,Box Score,,15505,2:13,FedEx Forum,
Thu Feb 1 2024,10:00p,Philadelphia 76ers,127,Utah Jazz,124,Box Score,,18206,2:26,Delta Center,
Fri Feb 2 2024,7:00p,Los Angeles Clippers,136,Detroit Pistons,125,Box Score,,19122,,Little Caesars Arena,
Fri Feb 2 2024,7:00p,Miami Heat,110,Washington Wizards,102,Box Score,,18308,2:23,Capital One Arena,
Fri Feb 2 2024,7:30p,Phoenix Suns,120,Atlanta Hawks,129,Box Score,,16536,2:10,State Farm Arena,
Fri Feb 2 2024,7:30p,Sacramento Kings,133,Indiana Pacers,122,Box Score,,17274,2:17,Gainbridge Fieldhouse,
Fri Feb 2 2024,8:00p,Toronto Raptors,106,Houston Rockets,135,Box Score,,18055,2:03,Toyota Center,
Fri Feb 2 2024,8:00p,Golden State Warriors,121,Memphis Grizzlies,101,Box Score,,17794,2:20,FedEx Forum,
Fri Feb 2 2024,8:00p,Orlando Magic,108,Minnesota Timberwolves,106,Box Score,,18024,2:16,Target Center,
Fri Feb 2 2024,8:00p,Charlotte Hornets,106,Oklahoma City Thunder,126,Box Score,,17552,2:04,Paycom Center,
Fri Feb 2 2024,8:00p,New Orleans Pelicans,114,San Antonio Spurs,113,Box Score,,17207,2:12,Frost Bank Center,
Fri Feb 2 2024,9:00p,Portland Trail Blazers,108,Denver Nuggets,120,Box Score,,19622,2:06,Ball Arena,
Sat Feb 3 2024,6:00p,Brooklyn Nets,136,Philadelphia 76ers,121,Box Score,,20673,2:11,Wells Fargo Center,
Sat Feb 3 2024,7:30p,Golden State Warriors,134,Atlanta Hawks,141,Box Score,OT,17600,2:31,State Farm Arena,
Sat Feb 3 2024,8:00p,Sacramento Kings,123,Chicago Bulls,115,Box Score,,21579,2:14,United Center,
Sat Feb 3 2024,8:30p,Milwaukee Bucks,129,Dallas Mavericks,117,Box Score,,20377,2:18,American Airlines Center,
Sat Feb 3 2024,8:30p,Los Angeles Lakers,113,New York Knicks,105,Box Score,,19812,2:18,Madison Square Garden (IV),
Sat Feb 3 2024,8:30p,Cleveland Cavaliers,117,San Antonio Spurs,101,Box Score,,18354,2:14,Frost Bank Center,
Sun Feb 4 2024,3:00p,Orlando Magic,111,Detroit Pistons,99,Box Score,,17982,2:08,Little Caesars Arena,
Sun Feb 4 2024,3:30p,Phoenix Suns,140,Washington Wizards,112,Box Score,,16984,2:10,Capital One Arena,
Sun Feb 4 2024,6:00p,Memphis Grizzlies,91,Boston Celtics,131,Box Score,,19156,1:57,TD Garden,
Sun Feb 4 2024,6:00p,Indiana Pacers,115,Charlotte Hornets,99,Box Score,,15687,2:14,Spectrum Center,
Sun Feb 4 2024,6:00p,Los Angeles Clippers,103,Miami Heat,95,Box Score,,19855,2:17,Kaseya Center,
Sun Feb 4 2024,7:00p,Houston Rockets,90,Minnesota Timberwolves,111,Box Score,,18024,2:15,Target Center,
Sun Feb 4 2024,7:00p,Toronto Raptors,127,Oklahoma City Thunder,135,Box Score,2OT,17059,2:33,Paycom Center,
Sun Feb 4 2024,8:00p,Milwaukee Bucks,108,Utah Jazz,123,Box Score,,18206,2:15,Delta Center,
Sun Feb 4 2024,8:30p,Portland Trail Blazers,103,Denver Nuggets,112,Box Score,,19715,2:00,Ball Arena,
Mon Feb 5 2024,7:00p,Los Angeles Lakers,124,Charlotte Hornets,118,Box Score,,19375,2:02,Spectrum Center,
Mon Feb 5 2024,7:00p,Sacramento Kings,110,Cleveland Cavaliers,136,Box Score,,19432,2:08,Rocket Mortgage Fieldhouse,
Mon Feb 5 2024,7:00p,Dallas Mavericks,118,Philadelphia 76ers,102,Box Score,,19764,2:08,Wells Fargo Center,
Mon Feb 5 2024,7:30p,Los Angeles Clippers,149,Atlanta Hawks,144,Box Score,,17093,2:21,State Farm Arena,
Mon Feb 5 2024,7:30p,Golden State Warriors,109,Brooklyn Nets,98,Box Score,,17919,2:21,Barclays Center,
Mon Feb 5 2024,8:00p,Toronto Raptors,100,New Orleans Pelicans,138,Box Score,,17429,1:59,Smoothie King Center,
Tue Feb 6 2024,7:00p,Houston Rockets,129,Indiana Pacers,132,Box Score,,15571,2:09,Gainbridge Fieldhouse,
Tue Feb 6 2024,7:30p,Dallas Mavericks,119,Brooklyn Nets,107,Box Score,,17732,2:11,Barclays Center,
Tue Feb 6 2024,7:30p,Orlando Magic,95,Miami Heat,121,Box Score,,19600,2:08,Kaseya Center,
Tue Feb 6 2024,7:30p,Memphis Grizzlies,113,New York Knicks,123,Box Score,,19013,2:05,Madison Square Garden (IV),
Tue Feb 6 2024,8:00p,Minnesota Timberwolves,123,Chicago Bulls,129,Box Score,OT,20949,2:40,United Center,
Tue Feb 6 2024,9:00p,Oklahoma City Thunder,117,Utah Jazz,124,Box Score,,18206,2:08,Delta Center,
Tue Feb 6 2024,10:00p,Milwaukee Bucks,106,Phoenix Suns,114,Box Score,,17071,2:35,Footprint Center,
Wed Feb 7 2024,7:00p,Toronto Raptors,123,Charlotte Hornets,117,Box Score,,11720,2:12,Spectrum Center,
Wed Feb 7 2024,7:00p,Cleveland Cavaliers,114,Washington Wizards,106,Box Score,,15860,2:13,Capital One Arena,
Wed Feb 7 2024,7:30p,Atlanta Hawks,117,Boston Celtics,125,Box Score,,19156,1:58,TD Garden,
Wed Feb 7 2024,7:30p,San Antonio Spurs,104,Miami Heat,116,Box Score,,19652,2:09,Kaseya Center,
Wed Feb 7 2024,7:30p,Golden State Warriors,127,Philadelphia 76ers,104,Box Score,,19780,2:14,Wells Fargo Center,
Wed Feb 7 2024,10:00p,New Orleans Pelicans,117,Los Angeles Clippers,106,Box Score,,19370,2:17,Crypto.com Arena,
Wed Feb 7 2024,10:00p,Detroit Pistons,133,Sacramento Kings,120,Box Score,,17832,2:09,Golden 1 Center,
Thu Feb 8 2024,7:00p,Golden State Warriors,131,Indiana Pacers,109,Box Score,,17274,2:08,Gainbridge Fieldhouse,
Thu Feb 8 2024,7:00p,San Antonio Spurs,111,Orlando Magic,127,Box Score,,19074,2:15,Kia Center,
Thu Feb 8 2024,7:30p,Cleveland Cavaliers,118,Brooklyn Nets,95,Box Score,,17304,2:03,Barclays Center,
Thu Feb 8 2024,7:30p,Dallas Mavericks,122,New York Knicks,108,Box Score,,19812,2:12,Madison Square Garden (IV),
Thu Feb 8 2024,8:00p,Chicago Bulls,118,Memphis Grizzlies,110,Box Score,,16285,2:13,FedEx Forum,
Thu Feb 8 2024,8:00p,Minnesota Timberwolves,129,Milwaukee Bucks,105,Box Score,,17577,2:05,Fiserv Forum,
Thu Feb 8 2024,9:00p,Utah Jazz,115,Phoenix Suns,129,Box Score,,17071,2:11,Footprint Center,
Thu Feb 8 2024,10:00p,Denver Nuggets,114,Los Angeles Lakers,106,Box Score,,18997,2:12,Crypto.com Arena,
Thu Feb 8 2024,10:00p,Detroit Pistons,128,Portland Trail Blazers,122,Box Score,OT,18125,2:39,Moda Center,
Fri Feb 9 2024,7:00p,Atlanta Hawks,127,Philadelphia 76ers,121,Box Score,,19758,2:24,Wells Fargo Center,
Fri Feb 9 2024,7:30p,Washington Wizards,129,Boston Celtics,133,Box Score,,19156,2:14,TD Garden,
Fri Feb 9 2024,7:30p,Houston Rockets,104,Toronto Raptors,107,Box Score,,19800,2:19,Scotiabank Arena,
Fri Feb 9 2024,8:00p,Charlotte Hornets,84,Milwaukee Bucks,120,Box Score,,17690,2:08,Fiserv Forum,
